P0_TC,P0_IC,P0_OC,TC,IC,OC,SIC_Q,SOC_Q,TC_Q,Fizz
1.01,0,1.01,0.79,0,0.62,FTIR,FTIR,FTIR, N
1.13,0,1.13,0.69,0,0.56,FTIR,FTIR,FTIR, N
1.04,0,1.04,0.62,0,0.48,FTIR,FTIR,FTIR, N
1.09,0,1.09,0.76,0,0.62,FTIR,FTIR,FTIR, N
1.37,0,1.37,1.22,0,1.32,FTIR,FTIR,FTIR, N
1.33,0,1.33,1.16,0,1.26,FTIR,FTIR,FTIR, N
1.38,0,1.38,1.17,0,1.29,FTIR,FTIR,FTIR, N
1.3,0,1.3,1.17,0,1.24,FTIR,FTIR,FTIR, N
1.52,0,1.52,1.31,0,1.43,FTIR,FTIR,FTIR, N
7.27,4.65,2.62,7.73,4.57,2.81,FTIR,FTIR,FTIR,P
7.17,5.4,1.77,7.37,4.61,2.59,FTIR,FTIR,FTIR,P
7.18,4.47,2.72,7.57,4.62,2.56,FTIR,FTIR,FTIR,P
7.19,5.24,1.95,7.47,4.65,2.76,FTIR,FTIR,FTIR,P
7.22,4.56,2.66,7.41,4.49,2.68,FTIR,FTIR,FTIR,P
1.55,0,1.55,1.69,0,1.64,FTIR,FTIR,FTIR,N
1.43,0,1.43,1.63,0,1.55,FTIR,FTIR,FTIR,N
1.37,0,1.37,1.59,0,1.58,FTIR,FTIR,FTIR,N
1.41,0,1.41,1.43,0,1.42,FTIR,FTIR,FTIR,N
1.27,0,1.27,1.37,0,1.37,FTIR,FTIR,FTIR,N
3.13,0,3.13,3.42,0,3.1,FTIR,FTIR,FTIR,N
3.53,0,3.53,3.74,0,3.42,FTIR,FTIR,FTIR,N
3.35,0,3.35,3.6,0,3.31,FTIR,FTIR,FTIR,N
3.31,0,3.31,3.59,0,3.31,FTIR,FTIR,FTIR,N
3.16,0,3.16,3.5,0,3.26,FTIR,FTIR,FTIR,N
2.23,0.17,2.06,2.25,0.16,2.03,FTIR,FTIR,FTIR,P
2.62,0.16,2.46,2.87,0.18,2.56,FTIR,FTIR,FTIR,P
2.51,0.18,2.33,2.96,0.1,2.65,FTIR,FTIR,FTIR,P
2.43,0.17,2.26,2.82,0.17,2.51,FTIR,FTIR,FTIR,P
2.73,0.18,2.55,2.99,0.23,2.63,FTIR,FTIR,FTIR,P
2.83,0.47,2.36,4.14,0.67,3.1172,FTIR,FTIR,FTIR,P
2.62,0.35,2.27,4.01,0.82,3.06,FTIR,FTIR,FTIR,P
3.33,0.39,2.94,3.68,0.73,2.88,FTIR,FTIR,FTIR,P
3.2,0.58,2.62,3.95,0.77,3.09,FTIR,FTIR,FTIR,P
2.93,0.37,2.56,3.55,0.72,2.72,FTIR,FTIR,FTIR,P
3.93,0.62,3.31,NA,0.35,3.58,EA-AF,AF,EA,P
4.61,0.7,3.91,NA,0.83,3.78,EA-AF,AF,EA,P
4.52,0.69,3.83,NA,0.59,3.93,EA-AF,AF,EA,P
4,0.66,3.34,NA,0.6,3.4,EA-AF,AF,EA,P
4.24,0.73,3.51,NA,0.6,3.64,EA-AF,AF,EA,P
3.38,0.51,2.87,NA,0.67,2.71,EA-AF,AF,EA,P
2.75,0.62,2.13,NA,0.53,2.22,EA-AF,AF,EA,P
3.5,0.4,3.1,NA,0.51,2.99,EA-AF,AF,EA,P
2.73,0.67,2.06,NA,0.58,2.15,EA-AF,AF,EA,P
3.21,0.61,2.6,NA,0.39,2.82,EA-AF,AF,EA,P
1.37,0,1.37,NA,0,1.39,EA-AF,AF,EA, N
1.35,0,1.35,NA,0,1.4,EA-AF,AF,EA, N
1.37,0,1.37,NA,0,1.29,EA-AF,AF,EA, N
1.27,0,1.27,NA,0,1.09,EA-AF,AF,EA, N
1.17,0,1.17,NA,0,1.33,EA-AF,AF,EA, N
1.63,0.85,0.78,NA,0.67,0.96,EA-AF,AF,EA,P
1.69,0.87,0.82,NA,0.79,0.9,EA-AF,AF,EA,P
1.69,0.84,0.85,NA,0.77,0.92,EA-AF,AF,EA,P
1.78,0.88,0.9,NA,0.83,0.95,EA-AF,AF,EA,P
1.73,0.85,0.89,NA,0.74,0.99,EA-AF,AF,EA,P
1.06,0,1.06,NA,0,1.05,EA-AF,AF,EA, N
1.18,0,1.18,NA,0,1.15,EA-AF,AF,EA, N
1.09,0,1.09,NA,0,1.07,EA-AF,AF,EA, N
1.08,0,1.08,NA,0,1.05,EA-AF,AF,EA, N
1.11,0,1.11,NA,0,1.13,EA-AF,AF,EA, N
1.06,0,1.06,NA,0,1.12,EA-AF,AF,EA, N
1.01,0,1.01,NA,0,1.11,EA-AF,AF,EA, N
1.13,0,1.13,NA,0,1.08,EA-AF,AF,EA, N
1.04,0,1.04,NA,0,0.95,EA-AF,AF,EA, N
1.09,0,1.09,NA,0,1.03,EA-AF,AF,EA, N
1.37,0,1.37,NA,0,1.49,EA-AF,AF,EA, N
1.33,0,1.33,NA,0,1.27,EA-AF,AF,EA, N
1.38,0,1.38,NA,0,1.35,EA-AF,AF,EA, N
1.3,0,1.3,NA,0,1.32,EA-AF,AF,EA, N
1.52,0,1.52,NA,0,1.48,EA-AF,AF,EA, N
7.27,4.65,2.62,NA,4.32,2.95,EA-AF,AF,EA,P
7.17,5.4,1.77,NA,4.1,3.07,EA-AF,AF,EA,P
7.18,4.47,2.72,NA,4.27,2.91,EA-AF,AF,EA,P
7.19,5.24,1.95,NA,4.2,2.99,EA-AF,AF,EA,P
7.22,4.56,2.66,NA,4.28,2.94,EA-AF,AF,EA,P
1.55,0,1.55,NA,0,1.48,EA-AF,AF,EA,N
1.43,0,1.43,NA,0,1.33,EA-AF,AF,EA,N
1.37,0,1.37,NA,0,1.39,EA-AF,AF,EA,N
1.41,0,1.41,NA,0,1.31,EA-AF,AF,EA,N
1.27,0,1.27,NA,0,1.38,EA-AF,AF,EA,N
3.13,0,3.13,NA,0,3.19,EA-AF,AF,EA,N
3.53,0,3.53,NA,0,3.33,EA-AF,AF,EA,N
3.35,0,3.35,NA,0,3.33,EA-AF,AF,EA,N
3.31,0,3.31,NA,0,3.36,EA-AF,AF,EA,N
3.16,0,3.16,NA,0,3.13,EA-AF,AF,EA,N
2.23,0.17,2.06,NA,0.3,1.93,EA-AF,AF,EA,P
2.62,0.16,2.46,NA,0.48,2.14,EA-AF,AF,EA,P
2.51,0.18,2.33,NA,0.08,2.43,EA-AF,AF,EA,P
2.43,0.17,2.26,NA,0.32,2.11,EA-AF,AF,EA,P
2.73,0.18,2.55,NA,0.27,2.46,EA-AF,AF,EA,P
2.83,0.47,2.36,NA,0.33,2.5,EA-AF,AF,EA,P
2.62,0.35,2.27,NA,0.12,2.5,EA-AF,AF,EA,P
3.33,0.39,2.94,NA,0.16,3.17,EA-AF,AF,EA,P
3.2,0.58,2.62,NA,0.74,2.46,EA-AF,AF,EA,P
2.93,0.37,2.56,NA,0.35,2.58,EA-AF,AF,EA,P
3.93,0.62,3.31,NA,NA,3.56,NA,LOI,NA,P
4.61,0.7,3.91,NA,NA,3.16,NA,LOI,NA,P
4.52,0.69,3.83,NA,NA,3.14,NA,LOI,NA,P
4,0.66,3.34,NA,NA,3.52,NA,LOI,NA,P
4.24,0.73,3.51,NA,NA,3.42,NA,LOI,NA,P
3.38,0.51,2.87,NA,NA,2.69,NA,LOI,NA,P
2.75,0.62,2.13,NA,NA,2.48,NA,LOI,NA,P
3.5,0.4,3.1,NA,NA,2.95,NA,LOI,NA,P
2.73,0.67,2.06,NA,NA,2.17,NA,LOI,NA,P
3.21,0.61,2.6,NA,NA,2.63,NA,LOI,NA,P
1.37,0,1.37,NA,NA,1.37,NA,LOI,NA, N
1.35,0,1.35,NA,NA,1.43,NA,LOI,NA, N
1.37,0,1.37,NA,NA,1.48,NA,LOI,NA, N
1.27,0,1.27,NA,NA,1.53,NA,LOI,NA, N
1.17,0,1.17,NA,NA,1.46,NA,LOI,NA, N
1.63,0.85,0.78,NA,NA,1.12,NA,LOI,NA,P
1.69,0.87,0.82,NA,NA,1.08,NA,LOI,NA,P
1.69,0.84,0.85,NA,NA,1.08,NA,LOI,NA,P
1.78,0.88,0.9,NA,NA,1.1,NA,LOI,NA,P
1.73,0.85,0.89,NA,NA,1.06,NA,LOI,NA,P
1.06,0,1.06,NA,NA,1.3,NA,LOI,NA, N
1.18,0,1.18,NA,NA,1.34,NA,LOI,NA, N
1.09,0,1.09,NA,NA,1.22,NA,LOI,NA, N
1.08,0,1.08,NA,NA,1.24,NA,LOI,NA, N
1.11,0,1.11,NA,NA,1.29,NA,LOI,NA, N
1.06,0,1.06,NA,NA,1.07,NA,LOI,NA, N
1.01,0,1.01,NA,NA,1.12,NA,LOI,NA, N
1.13,0,1.13,NA,NA,1.07,NA,LOI,NA, N
1.04,0,1.04,NA,NA,1.03,NA,LOI,NA, N
1.09,0,1.09,NA,NA,0.97,NA,LOI,NA, N
1.37,0,1.37,NA,NA,1.21,NA,LOI,NA, N
1.33,0,1.33,NA,NA,1.24,NA,LOI,NA, N
1.38,0,1.38,NA,NA,1.2,NA,LOI,NA, N
1.3,0,1.3,NA,NA,1.33,NA,LOI,NA, N
1.52,0,1.52,NA,NA,1.29,NA,LOI,NA, N
7.27,4.65,2.62,NA,NA,2.72,NA,LOI,NA,P
7.17,5.4,1.77,NA,NA,2.62,NA,LOI,NA,P
7.18,4.47,2.72,NA,NA,2.81,NA,LOI,NA,P
7.19,5.24,1.95,NA,NA,2.91,NA,LOI,NA,P
7.22,4.56,2.66,NA,NA,2.73,NA,LOI,NA,P
1.55,0,1.55,NA,NA,1.7,NA,LOI,NA,N
1.43,0,1.43,NA,NA,1.6,NA,LOI,NA,N
1.37,0,1.37,NA,NA,1.59,NA,LOI,NA,N
1.41,0,1.41,NA,NA,1.56,NA,LOI,NA,N
1.27,0,1.27,NA,NA,1.58,NA,LOI,NA,N
3.13,0,3.13,NA,NA,3.6,NA,LOI,NA,N
3.53,0,3.53,NA,NA,3.79,NA,LOI,NA,N
3.35,0,3.35,NA,NA,3.77,NA,LOI,NA,N
3.31,0,3.31,NA,NA,3.78,NA,LOI,NA,N
3.16,0,3.16,NA,NA,3.58,NA,LOI,NA,N
2.23,0.17,2.06,NA,NA,2.25,NA,LOI,NA,P
2.62,0.16,2.46,NA,NA,1.89,NA,LOI,NA,P
2.51,0.18,2.33,NA,NA,1.7,NA,LOI,NA,P
2.43,0.17,2.26,NA,NA,1.72,NA,LOI,NA,P
2.73,0.18,2.55,NA,NA,1.86,NA,LOI,NA,P
2.83,0.47,2.36,NA,NA,1.85,NA,LOI,NA,P
2.62,0.35,2.27,NA,NA,1.81,NA,LOI,NA,P
3.33,0.39,2.94,NA,NA,1.9,NA,LOI,NA,P
3.2,0.58,2.62,NA,NA,2.09,NA,LOI,NA,P
2.93,0.37,2.56,NA,NA,2.06,NA,LOI,NA,P
